tanggal,Trading,Investing,IHSG
2023-08-18,5450200957.222609,2839814853.1555214,1497801767.424643
2023-08-21,5451790940.326371,2865083237.2016745,1499138254.6698358
2023-08-22,5569522135.654928,2876793462.025765,1510146363.637219
2023-08-23,5576183948.48324,2879358437.2295427,1511229327.695664
2023-08-24,5496190118.203468,2862074564.7990513,1506421875.6098735
2023-08-25,5461559269.081358,2840072646.356534,1505559598.2615073
2023-08-28,5496531924.216681,2852624981.491707,1511298518.8429303
2023-08-29,5497314733.626416,2850677396.5026956,1519182364.9896076
2023-08-30,5448141388.5569315,2853235486.643929,1521108309.635779
2023-08-31,5432447384.475367,2853770579.103302,1518183411.1377046
2023-09-01,5468725944.131179,2860243781.2197895,1523509636.9100864
2023-09-04,5518021447.827055,2870889066.1208787,1527679123.1634557
2023-09-05,5552013081.559795,2877127041.8346024,1526578248.299555
2023-09-06,5617118368.197697,2862879488.8413773,1527505132.4818861
2023-09-07,5528246168.425645,2850660315.1403093,1518521477.5906806
2023-09-08,5527279561.214202,2847445378.1037264,1511965056.6745307
2023-09-11,5474317324.288484,2857480086.1249657,1520395928.671167
2023-09-12,5446082812.9549885,2852971120.9725137,1513971493.3333154
2023-09-13,5455357972.130199,2840038754.9111643,1514300497.7716262
2023-09-14,5513224796.496407,2816860569.027072,1519509450.4130483
2023-09-15,5534667666.443287,2858193382.874622,1524631301.1017482
2023-09-18,5498328068.706457,2832507985.7047005,1514433016.4096107
2023-09-19,5576444440.416431,2849697340.96405,1524091951.3112702
2023-09-20,5631336227.282022,2862057756.3168993,1530939209.5922005
2023-09-21,5590078257.915605,2831132576.6820154,1526525368.7786858
2023-09-22,5624094371.331736,2840028882.653754,1532066524.2165356
2023-09-25,5651343384.609289,2844192219.392359,1528035207.0338244
2023-09-26,5523686975.557434,2828702039.756875,1511751086.5164979
2023-09-27,5611143924.961075,2831568492.689721,1514814047.4732928
2023-09-29,5629306702.005339,2843803050.804984,1515264696.1319902
2023-10-02,5602944973.371087,2838513462.122691,1519973638.7877743
2023-10-03,5511984053.356804,2797447251.635316,1515481971.2600775
2023-10-04,5466993884.711653,2769459385.9316263,1503623632.0932357
2023-10-05,5418172842.128342,2756628329.1096444,1501058122.4355845
2023-10-06,5428088210.330357,2728952611.962459,1504047627.767624
2023-10-09,5466630652.513453,2753570364.1773586,1504688898.5700996
2023-10-10,5560976121.40297,2794917926.425035,1511399160.511681
2023-10-11,5552999856.147196,2791123592.1813784,1513487581.7502005
2023-10-12,5531863871.663722,2781893340.9199896,1514229494.221427
2023-10-13,5501056515.7561,2765861068.5542116,1512401739.16945
2023-10-16,5537507477.646362,2783771297.1800594,1505744996.420361
2023-10-17,5521642531.018117,2775930735.930482,1515204247.1635773
2023-10-18,5511007899.530193,2769854729.1762586,1512647586.2967167
2023-10-19,5429138521.842643,2728003877.101785,1494857358.9420545
2023-10-20,5419755846.829241,2723590444.0294037,1495455878.3576984
2023-10-23,5303651471.384529,2665861528.50606,1472048801.0897489
2023-10-24,5322371059.325305,2690747588.561406,1486196951.444549
2023-10-25,5391555329.794792,2740362105.4391847,1492228841.6294968
