tanggal,Trade_No_Buffer,Trade_Buffer_8,Trade_Buffer_10,Trade_Buffer_12,IHSG
2023-10-04,1414783136.1739244,1515942222.707035,1643259013.5833335,1543708466.439023,1045597412.9379791
2023-10-05,1405026979.5741863,1503920825.0613902,1632621377.2370067,1533067730.9801116,1043813395.8451025
2023-10-06,1390058154.355092,1498916672.4658108,1622469265.9891782,1516730983.362753,1045892253.1963887
2023-10-09,1414721215.9034207,1517203853.347443,1635155432.015614,1543616966.0757003,1046338183.3332593
2023-10-10,1406443091.8216276,1510693773.450991,1650113397.9904747,1549710220.2217782,1051004399.2509264
2023-10-11,1399009532.3454294,1502698527.9681878,1647862320.1077104,1547602373.663282,1052456656.1837871
2023-10-12,1394940049.2366405,1498338014.158568,1636415590.7845922,1536834922.5616539,1052972571.0337425
2023-10-13,1397892677.2671757,1501518369.0967047,1640651359.422903,1540812647.351701,1051701577.4732257
2023-10-16,1398265901.3171206,1501905398.9214723,1645770924.792874,1545644226.0585208,1047072578.0025593
2023-10-17,1395357696.340162,1508848522.3561134,1655592686.3669431,1545899441.1902876,1053650399.6690555
2023-10-18,1378293030.5458398,1498162424.3420053,1648630338.450191,1541976772.5708704,1051872535.8931133
2023-10-19,1356362082.148695,1476646123.4103916,1633100539.9427118,1525031176.6253042,1039501477.5374278
2023-10-20,1351220768.6724932,1469993731.278553,1627577949.5788338,1522744722.9772253,1039917678.998507
2023-10-23,1337337436.4167552,1445064880.6392856,1591693045.1139424,1479342165.890987,1023640747.1164668
2023-10-24,1330035541.6744537,1464691337.8756685,1620143178.9711585,1510473210.992878,1033479159.5310432
2023-10-25,1341689103.3659472,1472272977.9511318,1628536496.574384,1534747048.7666297,1037673645.8625246
2023-10-26,1326338651.7769866,1453926116.208024,1608246178.4073477,1509492548.8143947,1019473765.3703185
2023-10-27,1316234504.2438262,1444559854.1942282,1597885729.1259475,1498937719.2681727,1026195930.5075524
2023-10-30,1281592205.1056561,1398624611.7125666,1547055907.9304209,1461235938.268785,1022718861.62154
2023-10-31,1291542975.1513777,1406574786.227848,1555865874.2975483,1461822730.6706824,1025196572.5283313
2023-11-01,1274612290.5699034,1393867044.8489165,1541809336.4819388,1448618496.3687096,1008526569.7259773
2023-11-02,1282916291.9407055,1405947411.8405652,1555171894.4070318,1461194510.8031807,1025071356.2355342
2023-11-03,1286543706.1633396,1406014258.454843,1555245831.959071,1461256075.8390956,1030759541.7187475
2023-11-06,1288291136.4972324,1421866984.782504,1572781138.4804616,1477735299.973724,1044422203.5398625
2023-11-07,1291536721.1684935,1418250508.7025394,1559830730.451992,1457655200.694795,1039101141.2549505
2023-11-08,1276324430.5929577,1401545063.6172824,1541545648.8852177,1440789439.2929003,1033075857.7946217
2023-11-09,1273454352.8208895,1398392287.7032201,1540914455.0877986,1442320341.587074,1038257395.4714553
2023-11-10,1268026691.5160172,1392434297.183414,1536671852.3225222,1444866971.2416756,1033858885.9086077
2023-11-13,1262982245.473908,1386900367.697305,1536263657.8361423,1439155112.4473555,1038269405.5599297
2023-11-14,1257195515.628403,1382542124.396061,1534203581.156211,1441960048.775977,1041874359.647289
2023-11-15,1276900517.680269,1405137413.0853243,1553540665.3983455,1461932015.3280668,1056472918.7332175
2023-11-16,1280705965.696541,1407610189.7796638,1552316439.9810152,1464519516.956894,1056442967.6483803
