tanggal,Trading_Port,Investing_Port,Hybrid_Port,IHSG
2022-09-07,1136439499.0349631,1390895725.6834705,1354991828.1905615,1091174215.9710455
2022-09-08,1140704239.215131,1396079544.461786,1360041828.0827587,1098046136.5324652
2022-09-09,1141973802.805725,1397836367.2064486,1361753311.7408576,1099661419.2959123
2022-09-12,1147895426.329646,1405251949.240403,1368977488.097309,1101454258.614273
2022-09-13,1174223353.209884,1430846545.641599,1393911426.186039,1111103475.0672047
2022-09-14,1165557253.820456,1419249119.6839828,1382613369.706015,1105039640.7056003
2022-09-15,1180594414.7622573,1425432242.6907516,1388636903.5790195,1109218484.2675257
2022-09-16,1159184558.6252556,1386420368.5825126,1350632073.677195,1088458453.2488773
2022-09-19,1171240590.2229977,1395799165.4221795,1359768792.4920828,1092499848.0204854
2022-09-20,1189236119.3085763,1424973761.8266125,1388190259.4222083,1092722034.6572604
2022-09-21,1191738835.2898805,1424401392.4221594,1387632670.4542735,1091410636.786753
2022-09-22,1198503759.7090728,1426238638.7722208,1389422492.5608537,1096055427.2996726
2022-09-23,1190163236.426012,1421757248.6768916,1385056779.13295,1089933173.4953659
2022-09-26,1171054872.9610732,1407630698.8846166,1371294892.1220844,1082177621.7949004
2022-09-27,1156084786.1739979,1399129275.6574578,1363012923.06301,1079891998.1673496
2022-09-28,1151824627.9927022,1400186120.7350338,1364042474.0075076,1074514369.8484507
2022-09-29,1152880333.259163,1395009108.5119123,1358999114.022875,1068314717.6961982
2022-09-30,1151086640.195185,1389999562.837862,1354118887.3332167,1069013082.1000752
2022-10-03,1147741040.6282341,1379487524.395501,1343878212.1073837,1064294155.2385486
2022-10-04,1151901713.9193907,1383413663.1765513,1351347212.2974973,1073789390.4954236
2022-10-05,1151718554.3525712,1380296978.0014956,1351123196.651183,1074264456.2172966
2022-10-06,1157807721.791941,1386453556.0769887,1358268722.78849,1074452465.9973638
2022-10-07,1144829191.5069504,1364292110.0236397,1343024544.167714,1066885220.6223599
2022-10-10,1138089677.6239724,1363275736.747176,1335135702.597203,1061967682.4829154
2022-10-11,1124240077.5955083,1341221752.672509,1311808501.7216444,1053579006.365347
2022-10-12,1115271248.8341463,1330551272.9536595,1306258680.121568,1049033780.9686064
2022-10-13,1113157955.4110203,1328055655.0529482,1302567786.8458946,1044693839.1211581
2022-10-14,1093118200.5212815,1304125017.3042133,1292299451.5828834,1034658520.5646819
2022-10-17,1106324532.4946787,1319884736.1272628,1297412875.7320328,1037176709.9178126
2022-10-18,1085815369.6174772,1323189968.7494245,1296149139.559846,1037689733.4501723
2022-10-19,1090303979.3157227,1356399054.0550187,1319603458.956303,1041625483.9250156
2022-10-20,1113058567.5316565,1371641348.2873168,1338766502.0817986,1059881040.8150254
2022-10-21,1121159940.8663678,1370347104.399723,1332808601.6071107,1065516886.0361223
2022-10-24,1156139348.190606,1382602108.2245812,1344808354.4435928,1070872421.7231364
2022-10-25,1132878289.5146098,1381008055.474551,1338047421.0789723,1070164271.3212433
2022-10-26,1133512229.251683,1376346450.7636182,1348738090.3000286,1069490001.2306635
2022-10-27,1137743277.751272,1386560418.1412022,1351814884.5715866,1076750915.2132237
2022-10-28,1115805997.2049508,1351755990.5339017,1317837822.3397663,1071327322.3581884
2022-10-31,1108291761.5100908,1337021353.7052205,1299799546.4028702,1077833305.9028845
2022-11-01,1076579707.0765576,1325270972.191637,1284297738.4695961,1070759956.8822998
2022-11-02,1083962238.2009523,1326938604.7641602,1289560028.0068567,1065200916.9183596
2022-11-03,1096392401.815143,1335596553.7687283,1297981076.26,1068067991.9280344
2022-11-04,1107965749.505085,1337909134.1921973,1300225418.0696137,1069731092.6363331
2022-11-07,1110193824.7872052,1343545933.901947,1305699551.5288925,1078365604.885882
2022-11-08,1108818829.8789182,1337140323.541945,1299470157.1866992,1070429382.9038615
2022-11-09,1115153776.4231393,1345214828.374112,1307318100.8847518,1073459632.0168202
2022-11-10,1100670965.122513,1326645250.3133256,1289266989.5928683,1057783501.1038903
2022-11-11,1123160066.5385582,1356213565.95385,1318018758.548479,1076362959.7009637
2022-11-14,1106503643.1740015,1335784335.3974466,1298169533.855988,1065763018.7134972
2022-11-15,1106811450.7706513,1336131609.9322224,1298513025.051719,1068208702.7176903
2022-11-16,1104614640.9826553,1347519743.6290286,1309588341.335362,1065002602.1858362
2022-11-17,1104427718.3080342,1354380465.6907876,1316248416.623655,1069648949.5620767
2022-11-18,1096681917.2654784,1366593877.046333,1328128000.690546,1075296360.0535562
2022-11-21,1090310498.374302,1344457562.93697,1306599557.4418833,1072421574.8636262
2022-11-22,1093391867.6910303,1328282716.7882094,1290882426.7391346,1067462891.050705
2022-11-23,1096515234.7928088,1318770992.6492822,1281637225.7764277,1071036263.0535576
2022-11-24,1103316813.7803588,1319493171.5310483,1282339308.0207033,1075043406.8321095
2022-11-25,1103375922.9238198,1316487486.5196269,1279419185.3358018,1070888509.3107841
2022-11-28,1110221033.7481673,1308499465.463462,1271649426.8938916,1065454166.6852008
2022-11-29,1111769742.8681777,1286436642.3525207,1250213982.1666226,1064651121.7570908
2022-11-30,1141155381.6808126,1305364546.1872132,1268615369.540646,1075164545.6257331
2022-12-01,1128238182.2129729,1276067846.3781939,1240123766.3087008,1065977272.7609712
2022-12-02,1115285038.3306804,1258274296.732703,1222841177.8492522,1065800531.7058923
2022-12-05,1104726572.8221202,1235666011.9891434,1200869521.012482,1060894707.1095277
2022-12-06,1088793959.0152032,1206634213.0753958,1172655236.3756683,1046507436.6171288
2022-12-07,1074219683.5594501,1175867913.1919696,1142755292.368993,1035299577.5710857
2022-12-08,1066063894.1388657,1160168786.1328766,1127498234.6307745,1033094243.6090761
2022-12-09,1058276430.4617337,1148592698.0078595,1116248109.2427971,1019564730.6700592
2022-12-12,1069867626.8267332,1144212648.7941248,1111991391.3767502,1022500233.5294982
2022-12-13,1084336420.9497428,1179265501.1574106,1146057188.2917564,1034018723.8762043
2022-12-14,1080886117.0717657,1162910558.2432642,1130162776.2865496,1032718001.6398962
2022-12-15,1068280920.3204566,1161468977.3656187,1128761794.8863444,1025143268.493683
2022-12-16,1082039109.164704,1179013590.1507246,1145812373.3061037,1034303704.0002491
2022-12-19,1071977134.1875783,1152577347.27591,1120120551.0563908,1029370004.1368084
2022-12-20,1050794667.6967022,1144124555.6666403,1111905775.6345243,1027641811.7144328
2022-12-21,1055829074.5886747,1148514206.475799,1116171820.7789998,1035589747.2395332
2022-12-22,1060749465.3267274,1154082980.5519373,1121583774.774667,1036162005.7144299
2022-12-23,1047962172.1372701,1138563981.06492,1106501782.8017912,1032554605.1275665
2022-12-26,1033772130.0314635,1128504795.9021924,1096725852.2702942,1037889234.3642735
2022-12-27,1060682061.2746358,1149331550.0717063,1116966154.088681,1051131765.4978331
2022-12-28,1056651102.8073871,1144500165.2378044,1112270822.0636485,1040122962.5477995
2022-12-29,1069910256.1139047,1153916185.7205343,1121421700.6838186,1041574033.2990824
2022-12-30,1053905548.3850727,1141110903.5708835,1108976988.5449193,1040138012.2265667
2023-01-02,1055300513.9372711,1140467754.478745,1108351951.782515,1040193392.078976
2023-01-03,1057939407.5766375,1145316445.3938382,1113064099.539586,1045928654.1435548
2023-01-04,1055765771.6137407,1142961427.0062451,1110775398.957198,1034462504.0589652
2023-01-05,1033001650.6114426,1118317201.2511148,1086825159.6011894,1010260915.4652872
2023-01-06,1043015983.7904687,1129156978.409463,1097359686.4431522,1014924759.019799
2023-01-09,1040670178.000915,1126619673.1144364,1094893832.1693769,1015487602.1784226
2023-01-10,1026319127.1733711,1113093917.0673254,1081748964.1863966,1005502251.5209073
2023-01-11,1017484127.9626856,1100169490.8972268,1069188492.4879127,999725695.5101545
2023-01-12,1027424715.7871392,1119420005.5532973,1087896908.7432835,1006631125.7011446
2023-01-13,1024477706.024791,1143481488.2899423,1111280815.270416,1008437309.5622545
2023-01-16,1034779931.857702,1158661917.4383018,1126033760.4497328,1015456020.093916
2023-01-17,1050877686.764731,1182133829.2208567,1148844698.4543343,1027493613.1535676
2023-01-18,1058744950.9412749,1186166398.4888563,1152763709.7488208,1027257711.2923005
2023-01-19,1082659339.6668015,1199186686.3269112,1165417343.631129,1035474984.1718897
2023-01-20,1089229031.3132524,1200350779.9735024,1166548656.1562536,1043829335.160053
2023-01-24,1095848575.6612678,1213494028.800123,1179321788.447885,1041691984.2297161
2023-01-25,1093682987.952138,1210397019.4748528,1176311991.523577,1036996780.9997436
2023-01-26,1088419481.0775633,1218189575.9717026,1183885108.025605,1042293823.1077069
2023-01-27,1093785215.6241086,1227636623.9906597,1193066125.2581341,1047480846.8743376
2023-01-30,1077733412.682508,1211886756.8177361,1177759777.5315862,1043457318.9627436
2023-01-31,1065885894.0300553,1199789506.6512847,1166003188.3916845,1038425759.1191417
2023-02-01,1066425483.4918766,1200887919.7773001,1167070669.9867404,1041905126.2319609
2023-02-02,1086920772.2366743,1223863151.5053377,1189398914.4760017,1046204070.6786294
2023-02-03,1094033127.5972867,1232018373.2821038,1197324483.5371282,1049416843.4818581
2023-02-06,1089250157.8737338,1226513704.322189,1191974827.1826391,1043656226.7860559
2023-02-07,1105663500.4068177,1244864532.4907606,1209808892.2712379,1052995330.8927648
2023-02-08,1107003184.0612617,1245898557.6897404,1210813799.1088276,1053727649.7443038
2023-02-09,1086949793.7096949,1222325055.2080095,1187904131.2854853,1047235529.6967973
2023-02-10,1057169545.0365399,1187888021.5592182,1154436851.5578842,1044648912.4939023
2023-02-13,1075394701.5631773,1210138250.4080565,1176060509.4048684,1047656846.5659302
2023-02-14,1088312234.8957672,1219452046.5633361,1185112027.1526933,1053990463.1001153
2023-02-15,1081602986.3074074,1212025975.0552022,1177895075.339288,1049842905.0773021
2023-02-16,1081537158.937623,1211044053.6082919,1176940805.001437,1046977238.6582508
2023-02-17,1087360948.6395624,1216851389.2495494,1182584604.881528,1046984800.5658087
2023-02-20,1077608904.438116,1206397364.3983536,1172424967.5114124,1046833414.1419533
2023-02-21,1075253349.1487172,1197156410.1537805,1163444240.431162,1043597584.9343079
2023-02-22,1073766162.0887752,1181459922.4390876,1148189769.0255876,1033965864.6596476
2023-02-23,1077798705.2472475,1182322895.6243727,1149028440.7092156,1038442810.4793212
2023-02-24,1079023367.5086544,1189612855.8395927,1156113114.1515856,1041042475.6795709
2023-02-27,1084207639.3627372,1188837037.333417,1155359142.8534584,1040769283.2349545
2023-02-28,1078536687.7120168,1189353931.374161,1155861481.0521426,1039017441.3173734
2023-03-01,1086616821.8026812,1198754931.4003067,1164997746.9919658,1039275139.265131
2023-03-02,1083628099.3875043,1201462169.622258,1167628748.8310447,1041169841.9264776
2023-03-03,1074024544.9082155,1195476887.4047332,1161812013.3867266,1034522851.0467312
2023-03-06,1086937905.4911456,1183864311.083846,1150526449.5936317,1033515412.2055119
2023-03-07,1043498375.5296878,1160945130.4240437,1128252677.7557287,1027405242.6260282
2023-03-08,1045259670.9848263,1162287203.8788152,1129556958.147118,1028864690.7847037
2023-03-09,1055109083.4521457,1182247403.4914322,1148955074.45021,1032421307.9727713
2023-03-10,1046714706.1869825,1168990054.981399,1136071055.5897129,1027184168.0344824
2023-03-13,1059959347.3401263,1182553169.781239,1149252230.2986665,1030471818.5498041
2023-03-14,1020437896.4371941,1145953693.8398373,1113683403.0964193,1008434863.0627506
2023-03-15,1020008944.5384179,1145088991.6982844,1112843051.1442888,1006358303.9382712
2023-03-16,1003265574.3198626,1130798952.6669836,1098955422.5391278,996882640.6774284
2023-03-17,1038357274.9496768,1170920927.040241,1137947553.8958788,1013964989.850734
2023-03-20,1029268167.9163625,1157062002.4325233,1124478899.443828,1003982604.6471629
2023-03-21,1033906399.3843572,1157127725.4834862,1124542771.720214,1015995584.439077
2023-03-24,1051575557.4759715,1166161393.3064117,1133322049.6068861,1026721408.9464781
2023-03-27,1044640762.4595985,1160297525.68076,1127623309.6946645,1018625645.5422556
2023-03-28,1050736066.2848439,1177426290.7653482,1144269725.245998,1026429015.1875725
2023-03-29,1075571234.6486855,1205754267.691594,1171799980.539601,1038440067.4344227
2023-03-30,1072758786.3047845,1203527037.4913654,1169635469.5980132,1033811512.781848
2023-03-31,1081621410.6277065,1218223553.6170988,1183918128.8193688,1033253636.758581
2023-04-03,1086904796.195888,1222343868.821348,1187922415.103505,1036578429.5845548
2023-04-04,1095851014.9952636,1238708457.3197494,1199169037.5270927,1037489935.9906768
2023-04-05,1100202966.990412,1234723536.0742168,1203925661.1927836,1035439695.2699528
2023-04-06,1095692165.7898457,1222473992.3703644,1198987223.0519779,1031353966.9618777
2023-04-10,1085628625.698176,1219354961.4170713,1187971436.9261022,1028084998.8064048
2023-04-11,1094786392.3911464,1234735725.2844164,1206479241.3574262,1034170258.5727568
2023-04-12,1086756370.0758088,1239508153.1939902,1204585267.145061,1032295127.9074423
2023-04-13,1091046336.9608233,1240639918.3308878,1209451016.4340634,1030265793.6370256
2023-04-14,1099004864.4645166,1229470610.6572967,1198652987.6696262,1035272591.9401928
2023-04-17,1085051702.3628683,1229153086.6170259,1196658277.933415,1030567009.6214154
2023-04-18,1118983397.7811313,1261807323.1617951,1218440794.0924404,1035763448.7043191
2023-04-26,1146231227.160253,1294398841.844125,1238262307.1886227,1049176196.8942802
2023-04-27,1146058380.8469484,1286814192.5178678,1228668578.1190288,1054540406.5340813
2023-04-28,1188335804.9878783,1335639214.1869378,1273698307.3039038,1050021721.9501419
2023-05-02,1135580501.4047723,1275149471.5196311,1220055858.176576,1042063629.7452824
2023-05-03,1097892901.3233852,1234216239.4493074,1191737452.768938,1034384067.802139
2023-05-04,1083988507.8948884,1211724179.378462,1182920494.3064826,1039137097.3840249
2023-05-05,1078583629.3678966,1196570657.3287141,1179235228.4667559,1030574423.2562761
2023-05-08,1093199629.2810047,1222760206.043461,1185844625.8696706,1027841460.9012312
