tanggal,Investing_Optimal,Investing_Growth,Hybrid_Optimal,Hybrid_Growth,Trading_Optimal,Trading_Growth,IHSG
2023-10-23,1340893540.7953293,1340893540.7953293,1069196257.1884974,1069196257.1884974,1591693045.1139424,1591693045.1139424,1023640747.1164668
2023-10-24,1357492525.9079401,1357492525.9079401,1079582640.4531178,1079582640.4531178,1620143178.9711585,1620143178.9711585,1033479159.5310432
2023-10-25,1375480134.5183349,1375480134.5183349,1102511303.1117795,1102511303.1117795,1628536496.574384,1628536496.574384,1037673645.8625246
2023-10-26,1359257083.9116306,1359257083.9116306,1086090066.2510562,1086090066.2510562,1608246178.4073477,1608246178.4073477,1019473765.3703185
2023-10-27,1351410197.176572,1351410197.176572,1077543300.120466,1077543300.120466,1597885729.1259475,1597885729.1259475,1026195930.5075524
2023-10-30,1326906785.0096886,1326906785.0096886,1060735724.9362441,1060735724.9362441,1547055907.9304209,1547055907.9304209,1022718861.62154
2023-10-31,1321695913.1221652,1321695913.1221652,1057532817.9526378,1057532817.9526378,1555865874.2975483,1555865874.2975483,1025196572.5283313
2023-11-01,1283271285.2065008,1283271285.2065008,1023027601.713981,1023027601.713981,1541809336.4819388,1541809336.4819388,1008526569.7259773
2023-11-02,1281220023.7075057,1281220023.7075057,1039635184.4642897,1039635184.4642897,1555171894.4070318,1555171894.4070318,1025071356.2355342
2023-11-03,1294188527.2965524,1294188527.2965524,1046501928.1973876,1046501928.1973876,1555245831.959071,1555245831.959071,1030759541.7187475
2023-11-06,1306191197.945096,1306191197.945096,1044853139.8499573,1044853139.8499573,1572781138.4804616,1572781138.4804616,1044422203.5398625
2023-11-07,1281299371.8286078,1281299371.8286078,1042111006.8457736,1042111006.8457736,1559830730.451992,1559830730.451992,1039101141.2549505
2023-11-08,1260738713.760314,1260738713.760314,1033540139.7305732,1033540139.7305732,1541545648.8852177,1541545648.8852177,1033075857.7946217
2023-11-09,1266577866.2260537,1266577866.2260537,1035471733.4873492,1035471733.4873492,1540914455.0877986,1540914455.0877986,1038257395.4714553
2023-11-10,1273618738.4134257,1273618738.4134257,1037097455.0360034,1037097455.0360034,1536671852.3225222,1536671852.3225222,1033858885.9086077
2023-11-13,1269555343.1647773,1269555343.1647773,1032412661.3265777,1032412661.3265777,1536263657.8361423,1536263657.8361423,1038269405.5599297
2023-11-14,1272428364.665874,1272428364.665874,1032650975.4793336,1032650975.4793336,1534203581.156211,1534203581.156211,1041874359.647289
2023-11-15,1285257126.5461512,1285257126.5461512,1044254867.0033833,1044254867.0033833,1553540665.3983455,1553540665.3983455,1056472918.7332175
2023-11-16,1288371570.3936877,1288371570.3936877,1047341301.9454216,1047341301.9454216,1552316439.9810152,1552316439.9810152,1056442967.6483803
2023-11-17,1280667474.4381952,1280667474.4381952,1034398602.2763683,1034398602.2763683,1541242808.4833724,1541242808.4833724,1059427993.5886886
2023-11-20,1292056063.082706,1292056063.082706,1039402766.4568877,1039402766.4568877,1543441421.561067,1543441421.561067,1062042560.1950084
2023-11-21,1298698459.123312,1298698459.123312,1036539468.3787526,1036539468.3787526,1549063738.646429,1549063738.646429,1057017227.8046894
2023-11-22,1285579131.0867925,1285579131.0867925,1027762764.8372178,1027762764.8372178,1541577296.9092593,1541577296.9092593,1048691271.0380424
2023-11-23,1284919093.0083804,1284919093.0083804,1032990904.4040107,1032990904.4040107,1551390521.497698,1551390521.497698,1063478284.7221297
2023-11-24,1290714292.16187,1290714292.16187,1029804929.1441028,1029804929.1441028,1548698621.6343753,1548698621.6343753,1064280958.9684966
2023-11-27,1287701288.1189795,1287701288.1189795,1029552280.197355,1029552280.197355,1554828861.0364592,1554828861.0364592,1064854107.0795766
2023-11-28,1294623178.1525323,1294623178.1525323,1028028637.9574914,1028028637.9574914,1563887829.257793,1563887829.257793,1069054895.0006895
2023-11-29,1287176034.3179462,1287176034.3179462,1017476974.6045285,1017476974.6045285,1552981632.3612213,1552981632.3612213,1068297814.6087159
2023-11-30,1282950758.6597238,1282950758.6597238,1034114702.9913943,1034114702.9913943,1590640269.0704212,1590640269.0704212,1075077731.9615145
2023-12-01,1301094848.1039062,1301094848.1039062,1031844860.3626695,1031844860.3626695,1568471256.2551255,1568471256.2551255,1071914259.8301092
2023-12-04,1307319552.777724,1307319552.777724,1021515734.6445184,1021515734.6445184,1578039545.7364156,1578039545.7364156,1077030112.7020772
2023-12-05,1295324023.3012693,1295324023.3012693,1009976611.2563747,1009976611.2563747,1571558023.2670355,1571558023.2670355,1078131630.5696785
